_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,10_which_of_the_following_two_actions_is_more_relevant,11_imagine_you_want_to_make_the_peanut_butter_sandwich_which_of_the_following_two_actions_is_more_relevant,12_how_many_sandwiches_do_you_want_to_prepare,13_imagine_you_have_made_the_peanut_butter_sandwich_and_passed_it_to_mary_to_cut_it_in_half_you_begin_to_boil_some_water_in_the_pot_for_the_eggs_which_of_the_following_two_actions_is_more_relevant,14_which_of_the_following_two_actions_is_more_relevant_,15_which_of_the_following_two_actions_is_more_relevant_,16_which_of_the_following_two_actions_is_more_relevant,17_which_of_the_following_two_actions_is_more_relevant,18_which_of_the_following_two_actions_is_more_relevant,19_what_is_mary_responsible_for,1_imagine_you_have_just_pressed_two_slices_of_bread_together_after_spreading_peanut_butter_and_jelly_on_them_which_of_the_following_two_actions_is_more_relevant,20_imagine_you_have_made_the_peanut_butter_sandwich_and_passed_it_to_mary_to_cut_it_in_half_which_of_the_following_two_actions_is_more_relevant,21_imagine_you_have_spread_peanut_butter_on_one_slice_of_bread_and_you_just_spread_the_strawberry_jam_on_the_second_slice_of_bread_now_you_want_to_press_them_together_and_pass_the_sandwich_to_mary_to_cut_it_in_half_which_of_the_following_two_actions_is_more_relevant,22_imagine_you_want_to_make_the_peanut_butter_sandwich_you_open_the_lids_on_the_jars_of_both_the_peanut_butter_and_strawberry_jam_which_of_the_following_two_actions_is_more_relevant_,2_imagine_you_want_to_make_the_peanut_butter_sandwich_which_of_the_following_two_actions_is_more_relevant,3_imagine_you_have_made_the_peanut_butter_sandwich_and_passed_it_to_mary_to_cut_it_in_half_you_begin_to_boil_some_water_in_the_pot_for_the_eggs_which_of_the_following_two_actions_is_more_relevant_,4_which_color_is_closer_to_the_peanut_butters_color,5_imagine_you_have_spread_peanut_butter_on_one_slice_of_bread_and_you_have_just_spread_the_strawberry_jam_on_the_second_slice_of_bread_now_you_want_to_press_them_together_and_pass_the_sandwich_to_mary_to_cut_it_in_half_which_of_the_following_two_actions_is_more_relevant_,6_imagine_you_are_about_to_start_making_a_hard_boiled_egg_sandwich_which_of_the_following_two_actions_is_more_relevant,7_imagine_you_and_mary_want_to_make_the_hard_boiled_egg_sandwich_which_of_the_following_two_actions_is_more_relevant,8_imagine_you_want_to_make_the_peanut_butter_sandwich_you_open_the_lid_on_both_jars_of_peanut_butter_and_strawberry_jam_which_of_the_following_two_actions_is_more_relevant,9_imagine_you_and_mary_are_going_to_make_a_peanut_butter_and_a_hard_boiled_egg_sandwich_for_your_hiking_trip_which_of_the_following_two_actions_is_more_relevant,10_which_of_the_following_two_actions_is_more_relevant_gold,11_imagine_you_want_to_make_the_peanut_butter_sandwich_which_of_the_following_two_actions_is_more_relevant_gold,12_how_many_sandwiches_do_you_want_to_prepare_gold,13_imagine_you_have_made_the_peanut_butter_sandwich_and_passed_it_to_mary_to_cut_it_in_half_you_begin_to_boil_some_water_in_the_pot_for_the_eggs_which_of_the_following_two_actions_is_more_relevant_gold,14_which_of_the_following_two_actions_is_more_relevant__gold,15_which_of_the_following_two_actions_is_more_relevant__gold,16_which_of_the_following_two_actions_is_more_relevant_gold,17_which_of_the_following_two_actions_is_more_relevant_gold,18_which_of_the_following_two_actions_is_more_relevant_gold,19_what_is_mary_responsible_for_gold,1_imagine_you_have_just_pressed_two_slices_of_bread_together_after_spreading_peanut_butter_and_jelly_on_them_which_of_the_following_two_actions_is_more_relevant_gold,20_imagine_you_have_made_the_peanut_butter_sandwich_and_passed_it_to_mary_to_cut_it_in_half_which_of_the_following_two_actions_is_more_relevant_gold,21_imagine_you_have_spread_peanut_butter_on_one_slice_of_bread_and_you_just_spread_the_strawberry_jam_on_the_second_slice_of_bread_now_you_want_to_press_them_together_and_pass_the_sandwich_to_mary_to_cut_it_in_half_which_of_the_following_two_actions_is_more_relevant_gold,22_imagine_you_want_to_make_the_peanut_butter_sandwich_you_open_the_lids_on_the_jars_of_both_the_peanut_butter_and_strawberry_jam_which_of_the_following_two_actions_is_more_relevant__gold,2_imagine_you_want_to_make_the_peanut_butter_sandwich_which_of_the_following_two_actions_is_more_relevant_gold,3_imagine_you_have_made_the_peanut_butter_sandwich_and_passed_it_to_mary_to_cut_it_in_half_you_begin_to_boil_some_water_in_the_pot_for_the_eggs_which_of_the_following_two_actions_is_more_relevant__gold,4_which_color_is_closer_to_the_peanut_butters_color_gold,5_imagine_you_have_spread_peanut_butter_on_one_slice_of_bread_and_you_have_just_spread_the_strawberry_jam_on_the_second_slice_of_bread_now_you_want_to_press_them_together_and_pass_the_sandwich_to_mary_to_cut_it_in_half_which_of_the_following_two_actions_is_more_relevant__gold,6_imagine_you_are_about_to_start_making_a_hard_boiled_egg_sandwich_which_of_the_following_two_actions_is_more_relevant_gold,7_imagine_you_and_mary_want_to_make_the_hard_boiled_egg_sandwich_which_of_the_following_two_actions_is_more_relevant_gold,8_imagine_you_want_to_make_the_peanut_butter_sandwich_you_open_the_lid_on_both_jars_of_peanut_butter_and_strawberry_jam_which_of_the_following_two_actions_is_more_relevant_gold,9_imagine_you_and_mary_are_going_to_make_a_peanut_butter_and_a_hard_boiled_egg_sandwich_for_your_hiking_trip_which_of_the_following_two_actions_is_more_relevant_gold
819386857,11/2/2015 16:31:47,1788511746,11/2/2015 16:30:03,false,elite,0.6591,34098234,USA,UT,Providence,174.127.81.2,False A,False B,True,False A,False B,False B,True,False B,False A,True,True,True,True,True,True,True,True,False B,False B,False C,False A,False B,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 16:33:03,1788512516,11/2/2015 16:27:18,false,elite,0.6591,30247532,USA,VA,Chester,68.57.118.32,True,True,True,True,True,True,True,True,True,True,True,False C,False A,False C,True,True,True,True,True,True,False C,True,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 16:43:15,1788518120,11/2/2015 16:36:19,false,bitcoinget,0.6477,30546513,GBR,G6,Hull,194.42.67.50,True,False A,True,False B,True,True,True,True,True,True,True,False B,True,True,False C,True,True,True,True,True,True,False B,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 16:45:22,1788519299,11/2/2015 16:43:31,false,elite,0.6023,34078535,USA,IL,Chicago,65.60.51.4,False B,False A,False A,False B,True,False B,False A,False B,True,True,True,False C,True,True,False C,True,True,True,False B,False A,False C,True,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 16:55:04,1788524305,11/2/2015 16:51:30,false,instagc,0.608,16718271,USA,WA,Bellevue,67.160.99.79,False A,True,True,True,True,True,True,False A,True,True,True,False C,False A,False B,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 16:56:56,1788525273,11/2/2015 16:52:02,false,elite,0.6091,30064988,GBR,H3,Leeds,92.22.133.7,True,False A,True,True,True,True,True,True,True,True,True,False B,False A,True,True,True,True,True,False C,False C,True,True,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 16:57:01,1788525323,11/2/2015 16:55:47,false,instagc,0.4318,15448937,USA,PA,Jonestown,75.75.133.206,False A,False B,False A,False B,False A,False B,False B,False B,False A,False A,True,True,False C,True,False A,True,True,True,True,True,False A,False B,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 16:58:00,1788525766,11/2/2015 16:41:27,false,prizerebel,0.5955,29881713,GBR,H9,London,82.0.199.43,False A,False A,False A,False A,True,True,True,True,True,True,True,True,False A,False C,True,True,True,True,True,True,True,False B,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 17:00:20,1788526942,11/2/2015 16:59:45,false,elite,0.4636,33394315,USA,VA,Manassas,207.244.77.144,True,False A,True,False A,False A,False A,False A,False B,False B,True,True,False B,True,False B,True,False A,True,True,False B,False C,True,True,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 17:00:41,1788527057,11/2/2015 16:56:35,false,instagc,0.6182,18985376,GBR,D2,Derby,86.27.159.112,True,True,True,False B,True,True,True,True,True,True,True,False C,False C,True,False A,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 17:12:21,1788532914,11/2/2015 17:07:03,false,prodege,0.5644,9559045,USA,TX,Katy,107.204.185.88,True,True,True,True,True,True,True,True,False B,False A,True,False C,False A,False C,True,True,True,True,False C,True,True,False C,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 17:14:51,1788534397,11/2/2015 17:09:08,false,prodege,0.6364,6579519,USA,OH,Eaton,71.55.59.242,True,True,True,True,True,True,True,True,True,True,True,False B,False A,False B,False C,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 17:25:23,1788539179,11/2/2015 17:23:01,false,instagc,0.5422,14054543,USA,PA,Patton,71.114.164.182,False A,True,True,False A,False A,True,True,False A,False A,False C,True,False B,False A,True,True,True,True,True,True,False A,True,True,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 17:30:32,1788541486,11/2/2015 17:15:43,false,elite,0.5844,30513549,USA,GA,Warner Robins,107.181.69.215,False B,False A,True,False B,True,True,True,True,True,True,False C,True,False A,False B,False A,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 17:42:56,1788548715,11/2/2015 17:34:50,false,prodege,0.6364,11521789,USA,CA,San Diego,108.178.173.218,True,False A,True,False A,True,True,True,False B,False A,True,True,False B,False A,True,True,True,True,True,True,True,True,False C,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 17:48:07,1788551630,11/2/2015 17:43:31,false,elite,0.6313,31956791,USA,PA,Slippery Rock,72.23.5.90,True,False A,True,True,True,True,True,True,True,True,True,False C,False A,False C,True,True,True,True,False C,True,False C,False C,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 17:52:01,1788553451,11/2/2015 17:46:01,false,fusioncash,0.6313,7461070,USA,FL,Orlando,107.199.12.87,True,True,True,True,True,True,True,True,True,True,True,False C,False A,False B,False C,True,True,True,True,False C,False C,True,,,,,,,,,,,,,,,,,,,,,,
819386857,11/2/2015 17:53:22,1788554205,11/2/2015 17:47:44,false,bitcoinget,0.6944,21678835,USA,OH,Ironton,76.177.160.209,True,False A,True,True,True,True,True,True,True,True,True,False B,False A,False C,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,
